id,地点,x,y
1,兴平,108.49057,34.29785
2,周至,108.22207,34.16337
3,骆裕,108.116387,34.091452
4,厚畛子,107.848781,33.857195
5,佛坪,107.98974,33.52496
6,洋县,107.54672,33.22102
7,城固,107.33367,"33.15661	"
