id,地点,x,y
1,汉中,107.028621,33.077668
2,南郑,106.94024,"33.00299	"
3,南江,106.84164,32.35335
4,巴中,106.753669,31.858809
5,阆中,106.00494,31.55832
6,盐亭,105.3898,31.22176
7,三台,105.09079,31.09179
8,中江,104.67861,31.03297
9,金堂,104.41195,30.86195
10,成都,104.065735,30.659462
