id,地点,x,y
1,眉县,107.75079,34.27569
2,太白,107.31646,34.06207
3,江口,107.05849,33.725016
4,武兴,106.15399,33.33009
5,褒城,106.67584,33.15273
6,汉中,107.028621,33.077668
