id,地点,x,y
1,宝鸡,107.14487,34.369315
2,凤县,106.52356,33.91172
3,两当,106.30484,33.9096
4,徽县,106.08529,33.76898
5,略阳,106.15399,33.33009
6,勉县,106.67584,33.15273
