id,地点,x,y
1,临潭,103.35287,34.69515
2,岷县,104.03772,34.43444
3,宕昌,104.39349,34.04732
4,陇南,104.929379,33.388598
5,文县,104.68362,32.94337
6,碧口,105.24642,32.74963
7,沙州,105.4808777,32.675701
8,昭化,105.640491,32.386518
